census_tract_id,count_airbnb_listings,P1
480170060001,3,753
480170060004,2,506
480170060005,1,3
480170060011,4,364
480170060014,1,68
480170060031,1,145
480170060033,1,273
480170060037,1,194
480170060039,2,876
480170060044,2,0
480170060049,1,67
480170060053,1,99
480170060058,2,378
480170060059,13,754
480170060061,4,520
480170060062,2,2
480170060068,1,218
480170060070,6,114
480170060071,4,952
480170060073,1,79
480170060074,1,53
480170060079,3,1062
480170060082,4,612
480170060084,1,14
480170060085,5,2460
480170060086,2,438
480170060087,1,22
480170060093,2,546
480170060094,4,444
480170060095,3,195
480170060096,5,1565
480170060098,3,39
480170060099,7,3052
480170060100,4,600
480170060102,2,156
480170060106,8,3256
480170060110,2,294
480170060115,5,750
480170060118,1,251
480170060122,1,13
480170060123,5,280
480170060124,3,1962
480170060126,1,130
480170060127,4,4452
480170060128,1,33
480170060132,4,164
480170060133,1,91
480170060134,2,154
480170060137,1,14
480170060139,1,286
480170060140,11,4279
480170060142,10,1150
480170060144,1,67
480170060150,2,404
480170060151,1,126
480170060152,23,8786
480170060153,3,189
480170060154,5,585
480170060156,1,29
480170060157,2,302
480170060161,3,648
480170060162,7,6832
480170060163,4,236
480170060164,1,229
480170060165,8,1216
480170060166,1,159
480170060168,1,0
480170060169,1,4
480170060171,12,1536
480170060172,1,219
480170060175,5,2055
480170060176,4,824
480170060177,1,139
480170060178,2,72
480170060179,1,222
480170060182,12,3432
480170060183,1,65
480170060184,5,90
480170060187,1,342
480170060189,4,920
480170060193,2,88
480170060194,2,574
480170060198,1,68
480170060199,9,2439
480170060200,1,13
480170060202,1,21
480170060204,19,9386
480170060206,1,289
480170060208,3,132
480170060210,3,1056
480170060212,1,319
480170060214,6,1386
480170060216,2,736
480170060217,2,738
480170060218,6,906
480170060219,1,343
480170060221,2,200
480170060222,1,18
480170060225,4,1380
480170060227,2,90
480170060228,1,92
480170060229,1,9
480170060230,3,234
480170060233,3,912
480170060234,8,2808
480170060236,2,420
480170060237,11,5049
480170060238,1,0
480170060239,6,444
480170060241,16,4160
480170060243,1,375
480170060244,2,290
480170060247,1,29
480170060248,3,402
480170060251,3,612
480170060252,1,695
480170060257,2,648
480170060258,1,48
480170060259,5,705
480170060262,3,567
480170060263,5,740
480170060268,10,2700
480170060269,4,292
480170060270,2,566
480170060271,4,788
480170060272,2,446
480170060273,8,424
480170060274,2,604
480170060277,2,392
480170060278,3,786
480170060279,6,792
480170060280,2,448
480170060281,1,243
480170060282,10,4520
480170060283,1,4
480170060284,6,822
480170060286,1,403
480170060287,46,4600
480170060289,30,8820
480170060290,2,100
480170060291,19,798
480170060292,29,5075
480170060293,67,13534
480170060294,10,4870
480170060296,5,1710
480170060299,2,70
480170060300,2,606
480170060301,11,0
480170060302,2,614
480170060306,1,270
480170060307,4,52
480170060308,17,10523
480170060309,8,4744
480170060310,6,1662
480170060313,5,1860
480170060314,3,750
480170060315,2,564
480170060316,1,73
480170060317,9,2259
480170060318,1,87
480170060320,1,121
480170060323,2,76
480170060324,2,268
480170060328,2,1012
480170060329,3,843
480170060332,1,189
480170060333,1,10
480170060335,2,252
480170060336,2,920
480170060337,6,54
480170060339,12,1164
480170060340,7,483
480170060341,4,64
480170060342,2,544
480170060343,9,4419
480170060348,1,1222
480170060349,2,1226
480170060350,1,34
480170060353,4,16
480170060357,9,1107
480170060358,2,220
480170060360,12,912
480170060361,17,5117
480170060362,36,7128
480170060364,2,538
480170060366,7,658
480170060367,13,2158
480170060368,8,1208
480170060369,13,3029
480170060370,2,122
480170060371,11,308
480170060372,2,490
480170060374,15,1515
480170060376,1,34
480170060379,2,496
480170060381,52,16380
480170060382,12,780
480170060383,9,540
480170060384,17,3043
480170060385,1,19
480170060388,1,127
480170060389,1,132
480170060390,6,1254
480170060391,2,932
480170060392,2,492
480170060393,24,7320
480170060394,7,490
480170060395,1,53
480170060397,2,202
480170060402,7,623
480170060403,25,3600
480170060406,5,3000
480170060407,4,284
480170060408,16,3776
480170060409,45,13275
480170060410,11,869
480170060412,19,2679
480170060415,2,482
480170060416,7,231
480170060418,5,690
480170060419,5,55
480170060420,3,456
480170060421,25,1550
480170060422,2,4
480170060425,36,8532
480170060428,4,40
480170060430,1,51
480170060431,14,1260
480170060432,6,480
480170060433,21,3654
480170060434,9,135
480170060435,29,14471
480170060436,227,254921
480170060437,9,450
480170060440,4,804
480170060443,1,116
480170060444,19,1843
480170060446,3,1206
480170060448,34,6698
480170060449,3,933
480170060450,15,1455
480170060452,4,44
480170060453,1,264
480170060455,7,4298
480170060456,14,490
480170060458,1,23
480170060459,1,349
480170060460,64,31552
480170060461,1,269
480170060464,2,714
480170060465,1,16
480170060466,9,1782
480170060469,1,283
480170060470,2,844
480170060471,4,940
480170060472,10,170
480170060473,5,1770
480170060474,11,2332
480170060475,34,2414
480170060476,2,0
480170060477,27,4185
480170060478,2,390
480170060479,18,0
480170060480,21,1974
480170060482,2,36
480170060485,3,504
480170060488,3,897
480170060489,6,750
480170060490,1,104
480170060491,11,704
480170060492,22,2398
480170060493,20,1200
480170060495,1,354
480170060497,2,244
480170060499,19,2755
480170060501,5,185
480170060502,1,170
480170060504,1,357
480170060505,3,522
480170060506,9,819
480170060507,2,376
480170060509,26,2600
480170060510,49,25774
480170060512,4,1068
480170060513,13,1222
480170060514,1,123
480170060515,3,885
480170060516,3,1581
480170060517,3,240
480170060518,1,16
480170060521,10,930
480170060522,34,10132
480170060523,6,462
480170060524,17,238
480170060525,2,396
480170060526,54,10746
480170060527,2,426
480170060528,1,262
480170060529,19,38
480170060530,7,1456
480170060531,6,3150
480170060533,29,2842
480170060534,3,945
480170060535,9,225
480170060536,9,5121
480170060538,8,288
480170060539,4,248
480170060540,1,261
480170060541,1,215
480170060542,20,3160
480170060543,1,324
480170060544,7,14
480170060545,14,392
480170060546,1,381
480170060547,15,1590
480170060548,2,4
480170060551,22,3388
480170060554,9,45
480170060555,4,1092
480170060557,19,4161
480170060558,8,848
480170060559,70,1750
480170060560,14,1148
480170060561,5,1470
480170060563,10,2750
480170060564,2,166
480170060565,24,3816
480170060566,15,690
480170060568,2,290
480170060570,16,704
480170060571,19,1349
480170060573,12,1032
480170060574,53,3021
480170060576,7,2037
480170060577,43,5375
480170060578,2,1064
480170060580,2,902
480170060581,25,2050
480170060582,3,819
480170060583,9,918
480170060584,19,1539
480170060585,4,208
480170060586,14,420
480170060588,19,3534
480170060589,32,4608
480170060590,13,2184
480170060591,14,14
480170060592,8,1264
480170060593,26,7176
480170060594,2,952
480170060595,11,869
480170060597,19,0
480170060598,1,256
480170060599,23,2714
480170060600,1,118
480170060601,6,162
480170060602,2,312
480170060603,20,2160
480170060604,2,0
480170060605,20,1520
480170060606,56,18144
480170060607,8,0
480170060608,16,672
480170060609,13,195
480170060612,5,355
480170060613,4,140
480170060614,15,3165
480170060615,2,698
480170060616,4,1528
480170060617,14,840
480170060619,17,221
480170060620,3,615
480170060621,6,60
480170060622,27,2970
480170060623,14,504
480170060624,2,632
480170060625,11,484
480170060626,25,6650
480170060628,20,3820
480170060629,20,1300
480170060630,12,384
480170060631,10,1290
480170060632,12,2616
480170060633,2,50
480170060634,2,898
480170060635,2,300
480170060636,4,68
480170060639,4,0
480170060640,5,175
480170060641,12,228
480170060642,31,1767
480170060643,22,682
480170060644,13,169
480170060645,4,196
480170060646,3,2277
480170060647,6,132
480170060648,13,1170
480170060649,5,1405
480170060650,33,3597
480170060652,17,3366
480170060653,19,1710
480170060654,17,3638
480170060655,13,1469
480170060656,1,217
480170060659,11,4686
480170060660,12,408
480170060661,1,132
480170060662,11,253
480170060663,5,0
480170060664,5,120
480170060665,6,156
480170060666,6,120
480170060667,9,1008
480170060668,11,880
480170060669,9,207
480170060671,30,5160
480170060673,15,4545
480170060674,15,2115
480170060675,4,0
480170060676,1,7
480170060677,2,16
480170060678,2,728
480170060681,2,4
480170060682,29,1566
480170060683,17,1326
480170060684,2,264
480170060685,15,5265
480170060686,4,0
480170060687,6,4344
480170060689,3,0
480170060690,2,0
480170060691,3,0
480170060692,4,216
480170060693,16,672
480170060694,13,4823
480170060695,2,6
480170060699,3,300
480170060700,18,270
480170060701,11,176
480170060702,8,328
480170060703,6,132
480170060704,3,156
480170060705,8,0
480170060706,11,704
480170060707,11,594
480170060709,10,190
480170060710,8,2600
480170060711,20,260
480170060712,1,14
480170060713,12,216
480170060714,3,78
480170060715,13,975
480170060717,6,1344
480170060718,3,12
480170060719,2,1102
480170060720,6,6
480170060721,9,0
480170060722,1,125
480170060724,6,0
480170060725,5,45
480170060726,1,154
480170060727,1,52
480170060728,1,0
480170060730,9,468
480170060731,12,3804
480170060732,4,692
480170060733,1,6
480170060734,28,3080
480170060735,12,588
480170060738,5,20
480170060740,9,1143
480170060741,9,432
480170060743,8,168
480170060746,15,855
480170060747,22,2596
480170060748,8,376
480170060750,9,234
480170060751,2,0
480170060752,7,98
480170060753,11,264
480170060754,22,2530
480170060755,16,2320
480170060756,15,2025
480170060757,10,430
480170060758,12,0
480170060759,2,64
480170060760,13,1716
480170060761,6,0
480170060762,2,76
480170060763,45,17055
480170060764,3,207
480170060765,1,16
480170060766,2,586
480170060767,6,402
480170060768,8,10544
480170060771,11,1012
480170060772,4,3876
480170060774,2,172
480170060775,2,84
480170060777,9,135
480170060779,7,1862
480170060781,19,7543
480170060782,20,1320
480170060783,3,1506
480170060784,1,377
480170060785,7,749
480170060787,15,3075
480170060789,8,488
480170060790,4,8
480170060791,15,165
480170060793,4,0
480170060795,5,135
480170060796,7,336
480170060798,24,1920
480170060799,17,816
480170060800,13,897
480170060801,1,369
480170060802,3,417
480170060803,8,632
480170060804,46,8740
480170060807,1,146
480170060809,4,56
480170060810,12,888
480170060812,20,1380
480170060815,29,7946
480170060816,2,10
480170060817,12,2748
480170060818,79,24411
480170060819,4,2588
480170060820,1,187
480170060821,1,13
480170060822,12,276
480170060823,2,26
480170060824,2,16
480170060825,15,1695
480170060826,2,474
480170060827,1,0
480170060828,3,1185
480170060829,11,66
480170060830,1,907
480170060831,1,127
480170060833,7,70
480170060835,6,1854
480170060836,15,675
480170060837,2,28
480170060838,19,1349
480170060839,9,315
480170060840,4,116
480170060841,6,1110
480170060842,33,4983
480170060843,6,1392
480170060844,15,375
480170060845,1,147
480170060846,19,1349
480170060847,32,15104
480170060848,1,11
480170060850,2,432
480170060851,7,623
480170060852,1,66
480170060855,9,612
480170060858,1,0
480170060859,1,311
480170060861,16,3632
480170060862,1,69
480170060863,1,76
480170060864,9,3087
480170060865,22,16610
480170060866,10,2910
480170060867,18,1800
480170060870,3,435
480170060873,4,1836
480170060874,25,10050
480170060877,6,90
480170060878,1,202
480170060879,11,385
480170060881,5,45
480170060883,11,506
480170060884,5,65
480170060886,15,990
480170060887,5,235
480170060888,18,3330
480170060890,1,86
480170060891,1,323
480170060892,1,13
480170060895,22,748
480170060896,2,164
480170060897,32,9216
480170060899,1,254
480170060902,12,1092
480170060906,4,32
480170060907,5,2660
480170060908,3,726
480170060910,4,460
480170060911,3,225
480170060912,1,2
480170060915,2,562
480170060916,76,29716
480170060917,5,0
480170060918,25,1100
480170060919,37,6290
480170060920,2,210
480170060921,2,148
480170060922,1,22
480170060924,12,2280
480170060927,1,61
480170060928,5,1640
480170060930,20,2400
480170060931,7,2373
480170060932,2,360
480170060933,2,78
480170060934,48,4992
480170060935,6,1986
480170060936,7,210
480170060937,13,1846
480170060938,2,148
480170060940,1,197
480170060943,24,1872
480170060944,2,116
480170060945,9,324
480170060947,36,11628
480170060948,12,636
480170060949,8,1216
480170060950,4,8
480170060952,3,414
480170060953,3,234
480170060954,1,60
480170060955,2,78
480170060957,8,832
480170060958,3,1338
480170060960,3,105
480170060961,29,7047
480170060963,2,540
480170060964,3,201
480170060966,30,5430
480170060967,5,1590
480170060969,36,2700
480170060971,8,3448
480170060973,11,3245
480170060974,3,912
480170060975,1,48
480170060976,1,0
480170060977,1,157
480170060979,2,798
480170060983,2,718
480170060984,39,2652
480170060985,3,498
480170060986,8,184
480170060988,4,1140
480170060990,1,259
480170060991,1,98
480170060992,23,1886
480170060994,2,1324
480170060995,90,12420
480170060996,3,324
480170060998,1,47
480170060999,4,720
480170061000,1,297
480170061001,5,1710
480170061002,34,9588
480170061003,2,188
480170061004,20,1580
480170061005,5,855
480170061006,1,326
480170061007,1,44
480170061009,2,124
480170061010,23,5865
480170061011,100,26900
480170061013,1,131
480170061014,4,884
480170061017,42,10836
480170061018,2,372
480170061019,1,513
480170061021,1,194
480170061023,5,415
480170061025,40,3440
480170061026,1,154
480170061035,4,1504
480170061036,1,121
480170061037,2,1284
480170061039,1,417
480170061040,1,256
480170061043,3,462
480170061044,19,2508
480170061045,83,25979
480170061049,2,248
480170061050,26,2054
480170061051,2,572
480170061053,8,1520
480170061055,12,1092
480170061057,1,218
480170061058,20,1440
480170061061,1,30
480170061064,27,3429
480170061065,1,343
480170061066,28,3528
480170061068,4,1556
480170061069,29,5742
480170061070,6,1032
480170061071,59,8024
480170061072,1,377
480170061073,63,8505
480170061075,1,394
480170061076,10,1860
480170061077,1,0
480170061078,2,432
480170061079,8,192
480170061081,1,38
480170061082,2,258
480170061086,2,0
480170061087,1,301
480170061089,1,109
480170061090,17,238
480170061091,10,1810
480170061092,31,0
480170061094,55,11880
480170061095,1,311
480170061099,1,20
480170061100,4,1972
480170061104,3,477
480170061106,1,276
480170061109,1,75
480170061110,14,3892
480170061111,1,732
480170061112,28,4620
480170061114,2,706
480170061115,27,2484
480170061118,1,0
480170061119,2,736
480170061120,2,162
480170061121,18,1494
480170061123,3,309
480170061124,1,374
480170061125,2,150
480170061127,3,723
480170061132,25,2325
480170061133,2,416
480170061134,1,378
480170061135,21,1638
480170061137,4,1544
480170061141,21,735
480170061145,2,514
480170061149,44,21076
480170061150,1,430
480170061153,7,1631
480170061157,18,3420
480170061160,24,2712
480170061161,1,320
480170061165,14,2450
480170061169,1,275
480170061170,18,2304
480170061173,1,149
480170061174,2,1178
480170061176,3,381
480170061177,53,13568
480170061179,4,1224
480170061180,3,813
480170061183,1,134
480170061186,22,2464
480170061191,1,30
480170061194,40,5360
480170061196,1,90
480170061201,16,1760
480170061203,1,100
480170061206,3,543
480170061208,5,2020
480170061210,1,1015
480170061213,2,184
480170061214,6,6
480170061217,4,1124
480170061221,42,13398
480170061222,10,710
480170061223,3,486
480170061224,2,342
480170061226,83,29797
480170061232,21,1176
480170061235,7,70
480170061237,1,170
480170061238,2,646
480170061239,1,901
480170061243,1,377
480170061244,23,5198
480170061245,2,646
480170061247,6,270
480170061249,3,57
480170061251,3,1146
480170061252,13,2678
480170061257,16,160
480170061258,1,659
480170061259,16,864
480170061261,16,96
480170061262,4,924
480170061263,27,6588
480170061266,1,716
480170061268,12,564
480170061270,1,28
480170061271,7,98
480170061273,2,590
480170061275,2,0
480170061276,30,6480
480170061277,1,149
480170061278,1,94
480170061279,7,154
480170061280,13,819
480170061283,7,434
480170061285,4,16
480170061286,23,4646
480170061288,22,1958
480170061290,2,2466
480170061292,1,143
480170061294,2,28
480170061295,1,389
480170061296,9,486
480170061297,2,1050
480170061299,6,162
480170061300,3,768
480170061301,42,12684
480170061303,8,624
480170061305,3,387
480170061309,3,108
480170061312,1,587
480170061314,1,104
480170061315,21,5439
480170061317,31,12710
480170061318,4,728
480170061321,17,3706
480170061325,13,494
480170061326,28,4704
480170061328,3,258
480170061329,1,14
480170061331,1,403
480170061333,8,3808
480170061335,8,1168
480170061336,16,8112
480170061338,17,1309
480170061339,3,282
480170061340,4,2536
480170061341,11,770
480170061343,8,1544
480170061344,1,16
480170061345,9,1611
480170061346,2,118
480170061347,6,972
480170061348,10,1540
480170061349,11,2079
480170061350,12,5376
480170061352,5,690
480170061353,5,620
480170061354,1,867
480170061355,1,0
480170061358,4,480
480170061359,4,312
480170061360,1,312
480170061361,6,18
480170061362,1,88
480170061363,1,47
480170061365,5,0
480170061366,19,1938
480170061368,1,161
480170061369,5,390
480170061370,10,3260
480170061371,1,102
480170061375,2,388
480170061377,46,12098
480170061378,3,756
480170061379,6,684
480170061380,6,372
480170061381,1,192
480170061383,3,2052
480170061384,4,1304
480170061386,1,110
480170061388,5,180
480170061390,14,2492
480170061391,1,54
480170061393,11,946
480170061394,1,95
480170061395,14,0
480170061396,4,20
480170061397,2,0
480170061399,2,154
480170061400,34,7004
480170061401,3,1089
480170061402,2,472
480170061403,2,374
480170061404,7,1785
480170061406,1,105
480170061408,8,1056
480170061410,4,0
480170061411,1,1998
480170061412,2,1002
480170061414,13,1235
480170061415,5,910
480170061416,2,154
480170061418,3,969
480170061419,3,828
480170061420,1,275
480170061422,6,1626
480170061423,15,2460
480170061424,16,9072
480170061425,5,510
480170061426,2,180
480170061427,2,688
480170061429,5,900
480170061431,3,57
480170061432,2,264
480170061433,1,12
480170061434,3,546
480170061435,8,1976
480170061436,17,1683
480170061437,1,165
480170061439,6,942
480170061440,7,1197
480170061442,4,640
480170061443,1,171
480170061444,2,294
480170061445,9,2898
480170061446,1,270
480170061448,1,92
480170061449,2,312
480170061450,13,689
480170061451,4,668
480170061452,5,460
480170061453,2,356
480170061454,2,158
480170061457,1,112
480170061458,1,17
480170061459,9,45
480170061460,2,84
480170061461,1,136
480170061463,5,980
480170061464,3,45
480170061465,1,86
480170061466,2,156
480170061467,2,122
480170061469,13,1924
480170061470,2,120
480170061473,3,642
480170061474,2,132
480170061476,13,2652
480170061477,2,446
480170061478,4,900
480170061479,12,1488
480170061480,4,1336
480170061481,4,1108
480170061482,2,244
480170061483,1,106
480170061485,4,388
480170061487,4,420
480170061488,4,772
480170061489,4,0
480170061490,2,212
480170061491,6,1200
480170061492,7,210
480170061493,3,564
480170061496,4,596
480170061497,6,678
480170061498,3,1101
480170061499,1,116
480170061500,1,91
480170061501,3,816
480170061502,4,372
480170061503,3,480
480170061506,1,206
480170061507,3,732
480170061508,8,3320
480170061510,5,1670
480170061511,2,308
480170061512,1,112
480170061514,5,1050
480170061516,1,270
480170061517,1,407
480170061519,1,184
480170061520,3,396
480170061521,10,3780
480170061522,3,945
480170061523,4,784
480170061524,1,391
480170061525,3,747
480170061528,1,111
480170061529,4,1512
480170061531,18,2088
480170061535,3,1494
480170061536,7,2205
480170061537,4,868
480170061539,1,184
480170061540,1,122
480170061541,5,1520
480170061542,1,70
480170061544,7,2310
480170061545,1,27
480170061546,4,632
480170061547,5,540
480170061548,4,40
480170061549,4,364
480170061551,5,1365
480170061552,7,1211
480170061553,1,56
480170061554,3,414
480170061556,5,1255
480170061557,3,1722
480170061559,3,177
480170061560,3,513
480170061561,1,167
480170061562,1,124
480170061563,7,0
480170061564,2,250
480170061565,3,744
480170061567,1,159
480170061568,6,1458
480170061569,1,252
480170061570,3,405
480170061571,1,197
480170061572,3,588
480170061573,4,736
480170061574,4,328
480170061575,3,666
480170061576,1,61
480170061578,2,140
480170061579,4,212
480170061580,2,838
480170061581,3,1392
480170061582,7,1246
480170061583,1,173
480170061585,11,2332
480170061587,2,444
480170061589,3,732
480170061590,1,74
480170061593,5,1530
480170061594,4,788
480170061596,6,2886
480170061597,2,98
480170061598,12,2388
480170061599,1,183
480170061600,3,660
480170061601,5,1385
480170061602,1,65
480170061604,2,362
480170061605,1,58
480170061606,12,6828
480170061607,2,4
480170061608,2,578
480170061609,2,382
480170061612,2,538
480170061613,11,528
480170061616,13,7956
480170061619,2,430
480170061620,3,1701
480170061622,1,61
480170061623,4,1896
480170061624,5,230
480170061626,1,127
480170061629,10,11120
480170061630,2,148
480170061632,8,4656
480170061634,5,2585
480170061637,1,109
480170061638,1,126
480170061639,2,232
480170061640,2,438
480170061641,6,6216
480170061643,1,57
480170061645,5,9085
480170061646,7,3052
480170061647,3,1902
480170061649,6,2436
480170061650,1,198
480170061652,1,159
480170061653,1,207
480170061654,1,8
480170061655,2,532
480170061656,1,120
480170061659,8,1832
480170061660,1,29
480170061661,11,5599
480170061663,5,3175
480170061664,4,888
480170061665,2,252
480170061667,6,2994
480170061668,3,930
480170061669,17,10897
480170061670,5,1145
480170061672,8,7296
480170061673,4,436
480170061674,3,441
480170061675,1,234
480170061677,2,508
480170061681,3,477
480170061683,1,450
480170061684,9,4194
480170061685,1,0
480170061686,3,141
480170061688,4,1776
480170061689,2,156
480170061691,4,2376
480170061692,3,1167
480170061693,9,8352
480170061694,3,315
480170061695,3,390
480170061696,1,222
480170061697,1,46
480170061698,1,279
480170061699,6,1482
480170061700,4,668
480170061701,3,864
480170061704,2,462
480170061710,2,438
480170061712,1,361
480170061713,2,298
480170061714,5,2310
480170061715,1,92
480170061716,3,0
480170061721,1,99
480170061722,6,2568
480170061724,1,27
480170061732,5,1235
480170061734,1,144
480170061736,4,1900
480170061737,4,1216
480170061738,7,2240
480170061739,5,1640
480170061742,8,4272
480170061744,1,185
480170061745,1,99
480170061747,1,69
480170061750,6,2628
480170061752,3,30
480170061754,1,17
480170061755,5,2235
480170061759,1,193
480170061760,1,33
480170061764,1,257
480170061768,2,214
480170061769,2,28
480170061770,1,121
480170061771,2,814
480170061772,1,78
480170061779,1,345
480170061781,1,430
480170061782,1,245
480170061783,1,0
480170061786,1,450
480170061787,1,150
480170061792,5,3400
480170061793,2,280
480170061794,8,1496
480170061796,1,0
480170061798,2,476
480170061799,1,40
480170061804,3,852
480170061805,3,1470
480170061808,5,1735
480170061813,1,401
480170061814,2,406
480170061816,1,131
480170061817,6,4614
480170061819,1,37
480170061820,3,927
480170061822,2,288
480170061824,2,136
480170061826,3,915
480170061827,6,684
480170061831,2,212
480170061832,6,534
480170061834,8,11376
480170061838,1,167
480170061840,4,856
480170061844,3,876
480170061848,3,69
480170061850,4,1840
480170061853,1,339
480170061856,1,444
480170061858,2,830
480170061862,2,1248
480170061863,1,155
480170061866,1,131
480170061867,2,316
480170061869,2,178
480170061870,3,711
480170061873,3,2124
480170061877,3,486
480170061878,2,914
480170061879,1,116
480170061880,19,18696
480170061881,2,230
480170061884,2,1490
480170061885,2,432
480170061886,13,8450
480170061888,1,2
480170061890,2,450
480170061894,3,2205
480170061895,2,272
480170061896,1,116
480170061897,1,544
480170061898,2,96
480170061900,6,8082
480170061901,4,888
480170061902,1,252
480170061904,1,119
480170061905,1,263
480170061906,8,4664
480170061910,1,160
480170061911,5,2175
480170061912,7,1253
480170061914,5,4430
480170061915,3,1083
480170061921,2,498
480170061922,5,1950
480170061924,7,3150
480170061925,1,170
480170061928,3,609
480170061931,3,3003
480170061932,7,1680
480170061933,3,1440
480170061936,4,1064
480170061937,10,11790
480170061938,2,486
480170061944,1,98
480170061945,3,1476
480170061950,1,108
480170061952,1,226
480170061954,2,304
480170061955,2,458
480170061956,1,585
480170061957,1,189
480170061958,13,6812
480170061959,1,478
480170061961,2,398
480170061963,2,1560
480170061965,7,1589
480170061966,1,78
480170061967,1,342
480170061968,2,424
480170061969,1,108
480170061974,1,16
480170061978,4,36
480170061979,10,3630
480170061983,1,265
480170061984,1,135
480170061985,2,188
480170061986,4,1216
480170061987,2,746
480170061988,10,440
480170061989,1,39
480170061990,1,161
480170061991,3,1302
480170061992,2,248
480170061994,8,5232
480170061996,4,1388
480170062004,2,632
480170062006,1,414
480170062007,1,126
480170062008,6,1098
480170062012,3,12
480170062014,1,323
480170062016,1,313
480170062017,1,183
480170062018,1,2
480170062019,1,143
480170062020,5,5100
480170062021,1,44
480170062024,1,40
480170062025,3,669
480170062026,2,1012
480170062027,1,116
480170062032,3,2574
480170062035,12,17676
480170062036,3,306
480170062040,2,1556
480170062041,3,1323
480170062048,1,407
480170062049,2,2514
480170062050,6,1836
480170062052,1,61
480170062054,2,302
480170062055,3,867
480170062057,1,568
480170062058,1,160
480170062059,1,52
480170062062,3,204
480170062066,2,578
480170062069,1,79
480170062072,1,64
480170062079,3,1731
480170062081,1,292
480170062085,1,160
480170062087,1,35
480170062089,1,121
480170062090,4,552
480170062091,1,201
480170062093,3,15
480170062094,4,564
480170062096,1,27
480170062097,10,11010
480170062098,1,158
480170062099,1,214
480170062103,1,235
480170062105,2,64
480170062106,1,433
480170062108,1,40
480170062109,1,7
480170062110,1,69
480170062111,1,37
480170062119,1,113
480170062120,3,42
480170062121,2,362
480170062122,2,106
480170062124,1,74
480170062125,2,592
480170062126,5,1365
480170062127,12,14316
480170062131,3,198
480170062133,1,44
480170062135,1,280
480170062137,1,20
480170062140,2,398
480170062142,1,1
480170062143,1,6
480170062147,2,50
480170062149,1,17
480170062150,3,309
480170062154,6,804
480170062155,2,1934
480170062157,1,226
480170062158,1,62
480170062159,3,123
480170062160,1,96
480170062161,2,40
480170062162,1,28
480170062163,1,20
480170062164,3,309
480170062167,2,786
480170062169,2,108
480170062177,63,11655
480170062181,1,74
480170062186,1,0
